始発停留所	山の庄	中島東	中島東		
始発時間	07:30	10:30	14:00		
終点時間	07:59	10:56	14:26		
終点停留所	松任駅前	松任駅前	松任駅前		
備考					
山の庄	07:30				
藤蔵	07:31				
中島東	07:32	10:30	14:00		
中島-B	07:33	10:31	14:01		
中島農協前	07:34	10:32	14:02		
三反田	07:35	10:33	14:03		
山島台中央-A	07:36	10:34	14:04		
漆島-B	07:37	10:35	14:05		
矢頃島-B	07:38	10:36	14:06		
向島-A	07:39	10:37	14:07		
藤の木-B	07:40	10:38	14:08		
藤波	07:41	10:39	14:09		
菅波-B	07:42	10:40	14:10		
乙丸-A	07:43	10:41	14:11		
林中-B	07:45	10:43	14:13		
平松-A	07:46	10:44	14:14		
開発-B	07:48	10:46	14:16		
松任中央病院-A	07:50	10:48	14:18		
総合運動公園東口-B	07:51	10:49	14:19		
白山市役所前-B	07:52	10:50	14:20		
松任合庁前-B	-	10:51	14:21		
倉光-B	07:53	-	-		
松任中学校前-B	07:53	-	-		
蕪城通り-B	07:53	10:52	14:22		
広小路（松任）-B	07:54	10:53	14:23		
松任（松任広小路方向）	07:55	10:54	14:24		
松任駅前	07:59	10:56	14:26		
