始発停留所	市立輪島病院-A	輪島駅前【２】			
始発時間	12:00	14:45			
終点時間	12:37	15:17			
終点停留所	空熊-A	空熊-A			
備考					
市立輪島病院-A	12:00				
輪島駅前【２】	12:05	14:45			
馬場町-B	12:07	14:47			
中央通り-B	12:08	14:48			
新橋-B	12:09	14:49			
測候所前-A	12:10	14:50			
県立漆芸研修所前-B	12:11	14:51			
小伊勢-B	12:12	14:52			
大屋学校前-B	12:13	14:53			
稲屋-B	12:14	14:54			
長井-B	12:16	14:56			
四十九坊-B	12:18	14:58			
黒川-A	12:19	14:59			
二俣学校前-B	12:20	15:00			
二俣-B	12:21	15:01			
大久保口-A	12:22	15:02			
下別所谷-A	12:24	15:04			
別所谷-A	12:26	15:06			
帶壁-A	12:28	15:08			
滝又-A	12:31	15:11			
滝又学校前-A	12:32	15:12			
落合-A	12:35	15:15			
空熊-A	12:37	15:17			
